G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-24595.7866,830.5752,204.225,2.6617,-1.67046,1.39077,-0.44346,0.37314,-2.41829,176.1718,386.9068298,-0.112
-20015.3963,3.3474,152.81,1.77718,-0.36972,0.08901,-0.36972,0.20662,-0.36972,102.176,298.6975403,-0.38
-24800.9253,-851.3269,203.368,5.54967,-0.28523,0.27444,-0.28523,0.1973,-0.52106,211.4749,351.4087219,-4.29
-27939.7015,-431.9484,297.654,3.65416,-0.97586,0.89105,-0.3945,0.49456,-1.47922,286.114,475.6845703,-4.93
-24802.8695,27.4587,257.818,5.90076,0,0.14554,-0.39152,0.23321,-0.68516,253.1411,421.462738,-4.0552
-28540.4745,-96.673,380.516,7.7167,-0.91184,0.92919,-0.46112,0.39336,-1.74127,312.4108,546.2084961,-3.193
-25305.3078,-16.6296,297.161,0.692647,0,-0.81416,-0.07298,0.07206,0,252.3148,458.2511292,-8.230032
-27478.5811,68.2436,293.977,1.89059,-1.19565,0.81515,-0.45311,0.43647,-1.59058,235.2822,488.8417358,-2.759
-21897.9015,-262.8559,177.102,8.1299,0,0.08476,-0.56082,0.29945,-1.12536,152.2136,337.3738098,-1.77
-25754.448,-487.4321,226.037,4.4674,-0.2778,0.36774,-0.2778,0.19435,-0.53501,245.92,371.6450806,-5.26
-17440.1769,30.2446,82.9983,3.45366,0,0.07428,-0.18589,0.07725,-0.18589,55.0792,217.0012817,0.28
-18464.3228,33.7871,119.884,4.48727,-0.47706,0.80203,-0.47706,0.36796,-0.91421,87.1212,264.636322,1.11
-27024.194,39.545,318.572,1.92157,-1.18138,0.90891,-0.44186,0.4365,-1.59721,261.32,504.3084106,-2.542
-25783.8129,-62.0678,274.906,5.65947,-0.63803,0.7585,-0.47829,0.50597,-1.16931,218.3134,446.6631165,-1.62
-27217.9264,260.6614,303.537,0.683305,-0.7773,-0.07706,-0.46152,0.44936,-1.1469,253.3,513.734375,-6.042
-23251.5592,-78.3029,194.358,3.38662,0,0.07121,-0.07549,0.10479,-0.28047,215.8938,327.7150574,-4.63015
-26307.7454,-5.3037,326.246,0.145438,0,-0.94068,-0.05955,0.06938,0,278.3526,495.5426636,-7.869988
-27753.1552,52.5519,382.626,4.18987,-0.73706,0.00087,-0.37218,0.29783,-0.73706,302.4558,504.6696472,-3.97988
-18738.8882,21.2638,113.116,2.4038,-0.32457,0.0421,-0.32457,0.24143,-0.64473,95.1006,249.2917633,1.02
-28903.0744,-208.6249,333.542,5.64021,-3.16286,-0.78088,-0.79724,1.90594,-1.05002,327.3724,526.576416,-2.759
